epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3482,0.78483,0.47535,1.05855,0.96296,0.92022,0.95827,0.76742,0.79218,0.42164,1.12393,0.000470226,0.000470226,0.000470226
2,103.204,0.7842,0.50381,1.06223,0.92887,0.92107,0.94737,0.72953,0.85619,0.51416,1.17389,0.000937189,0.000937189,0.000937189
3,142.358,0.83828,0.56497,1.09335,0.95528,0.91565,0.95162,0.72794,0.88051,0.50232,1.19725,0.00139472,0.00139472,0.00139472
4,182.829,0.85576,0.58151,1.09533,0.90565,0.89884,0.94177,0.73551,0.84927,0.57904,1.16697,0.00138656,0.00138656,0.00138656
5,227.064,0.85531,0.60994,1.10911,0.93114,0.91796,0.94932,0.74204,0.8248,0.52713,1.14081,0.00137241,0.00137241,0.00137241
6,288.108,0.86971,0.56324,1.10223,0.90393,0.8822,0.91896,0.70012,0.91499,0.55117,1.22267,0.00135826,0.00135826,0.00135826
7,324.988,0.83805,0.58118,1.10642,0.95072,0.92528,0.96171,0.74041,0.85648,0.48202,1.18334,0.00134412,0.00134412,0.00134412
8,358.621,0.84816,0.58399,1.09333,0.91416,0.9345,0.95433,0.73137,0.88257,0.50376,1.19123,0.00132997,0.00132997,0.00132997
9,395.434,0.86015,0.59199,1.10291,0.91462,0.89813,0.94292,0.73386,0.85618,0.50742,1.19038,0.00131582,0.00131582,0.00131582
10,433.617,0.85013,0.5883,1.10594,0.95296,0.906,0.96079,0.74066,0.84354,0.49253,1.16682,0.00130168,0.00130168,0.00130168
11,469.853,0.83116,0.54536,1.09661,0.94768,0.9415,0.95815,0.75039,0.82829,0.4491,1.14609,0.00128753,0.00128753,0.00128753
12,504.56,0.8254,0.55354,1.08739,0.92937,0.918,0.94911,0.74164,0.85527,0.48887,1.17961,0.00127338,0.00127338,0.00127338
13,539.202,0.82315,0.55125,1.07303,0.91691,0.8916,0.95544,0.74804,0.84786,0.47918,1.16811,0.00125923,0.00125923,0.00125923
14,574.38,0.80723,0.52294,1.07695,0.95355,0.92311,0.95744,0.747,0.82781,0.48337,1.16588,0.00124509,0.00124509,0.00124509
15,605.642,0.83389,0.55357,1.09155,0.95665,0.90309,0.95965,0.75373,0.84801,0.47365,1.18053,0.00123094,0.00123094,0.00123094
16,636.608,0.82843,0.53496,1.08755,0.96523,0.94211,0.97075,0.77041,0.81881,0.43466,1.13708,0.00121679,0.00121679,0.00121679
17,669.703,0.81109,0.53403,1.08026,0.96228,0.92602,0.96404,0.75863,0.8593,0.4643,1.17224,0.00120265,0.00120265,0.00120265
18,700.222,0.81499,0.517,1.08547,0.94474,0.91787,0.95934,0.75112,0.85021,0.46064,1.15785,0.0011885,0.0011885,0.0011885
19,731.47,0.80871,0.52331,1.08186,0.95756,0.91609,0.96427,0.75888,0.8556,0.45225,1.15727,0.00117435,0.00117435,0.00117435
20,760.907,0.80709,0.52563,1.0885,0.95581,0.89221,0.95463,0.73734,0.84087,0.4687,1.1414,0.00116021,0.00116021,0.00116021
21,792.09,0.80196,0.52084,1.07496,0.9448,0.94011,0.95915,0.75737,0.82221,0.42991,1.152,0.00114606,0.00114606,0.00114606
22,823.736,0.80047,0.50685,1.08758,0.94218,0.95505,0.96645,0.76688,0.81165,0.43237,1.14058,0.00113191,0.00113191,0.00113191
23,856.217,0.80664,0.52214,1.06942,0.9521,0.92723,0.96964,0.76383,0.80772,0.44933,1.15088,0.00111776,0.00111776,0.00111776
24,885.896,0.76975,0.47907,1.06066,0.94446,0.93491,0.96499,0.764,0.8261,0.44875,1.15697,0.00110362,0.00110362,0.00110362
25,917.471,0.78109,0.473,1.06564,0.95877,0.92334,0.95716,0.76258,0.8154,0.46348,1.14193,0.00108947,0.00108947,0.00108947
26,949.399,0.7599,0.46746,1.04677,0.93618,0.93353,0.96112,0.76443,0.81891,0.43363,1.14966,0.00107532,0.00107532,0.00107532
27,981.834,0.76562,0.48678,1.04856,0.97303,0.90492,0.96652,0.76011,0.82663,0.44874,1.14613,0.00106118,0.00106118,0.00106118
28,1013.63,0.76041,0.48646,1.05291,0.95023,0.93614,0.96254,0.7688,0.82697,0.43831,1.16417,0.00104703,0.00104703,0.00104703
29,1044.09,0.76992,0.48911,1.0553,0.93514,0.94957,0.96173,0.77272,0.8046,0.42853,1.14439,0.00103288,0.00103288,0.00103288
30,1076.34,0.75653,0.47222,1.04015,0.95406,0.90621,0.95088,0.75201,0.80523,0.47413,1.14845,0.00101873,0.00101873,0.00101873
31,1106.5,0.7486,0.47046,1.04892,0.9378,0.93434,0.95584,0.75785,0.80545,0.4222,1.141,0.00100459,0.00100459,0.00100459
32,1137.34,0.73971,0.45833,1.04168,0.96248,0.93633,0.95835,0.7709,0.79789,0.4369,1.12403,0.00099044,0.00099044,0.00099044
33,1168.22,0.74262,0.44549,1.04309,0.94299,0.9383,0.96486,0.77209,0.79762,0.42479,1.14834,0.000976293,0.000976293,0.000976293
34,1199.58,0.75405,0.45739,1.0558,0.94747,0.93867,0.95623,0.76588,0.80516,0.43074,1.13139,0.000962146,0.000962146,0.000962146
35,1230.08,0.75902,0.45644,1.04288,0.94961,0.91997,0.9623,0.77173,0.80183,0.45316,1.15248,0.000947999,0.000947999,0.000947999
36,1261.16,0.74338,0.45713,1.04624,0.97857,0.92653,0.96383,0.75908,0.81975,0.43094,1.15651,0.000933851,0.000933851,0.000933851
37,1293.94,0.73687,0.44565,1.03981,0.94594,0.94751,0.96249,0.77788,0.77852,0.40703,1.12564,0.000919704,0.000919704,0.000919704
38,1326.02,0.72849,0.43989,1.02972,0.94557,0.92587,0.96429,0.76942,0.81817,0.4245,1.14006,0.000905557,0.000905557,0.000905557
39,1359.16,0.74053,0.43496,1.03125,0.93607,0.94112,0.96437,0.77737,0.80997,0.41945,1.14388,0.00089141,0.00089141,0.00089141
40,1390.06,0.73276,0.44793,1.03633,0.97447,0.91185,0.96791,0.78016,0.80101,0.42454,1.1347,0.000877263,0.000877263,0.000877263
41,1423.67,0.74163,0.44618,1.05177,0.96874,0.89528,0.96317,0.77423,0.78512,0.45337,1.12555,0.000863116,0.000863116,0.000863116
42,1455.71,0.74938,0.43818,1.04829,0.96219,0.92939,0.96369,0.77212,0.81435,0.43537,1.14074,0.000848969,0.000848969,0.000848969
43,1485.98,0.716,0.4292,1.03213,0.95527,0.93432,0.96662,0.78001,0.80412,0.43002,1.13615,0.000834822,0.000834822,0.000834822
44,1517.75,0.72274,0.42386,1.02503,0.96976,0.94458,0.96306,0.76563,0.8014,0.43351,1.13515,0.000820675,0.000820675,0.000820675
45,1550.48,0.71989,0.43473,1.02886,0.96269,0.90302,0.96036,0.76578,0.78718,0.44134,1.13532,0.000806528,0.000806528,0.000806528
46,1581.91,0.70641,0.42356,1.03556,0.95566,0.93852,0.95674,0.7764,0.79797,0.41822,1.13555,0.00079238,0.00079238,0.00079238
47,1615.95,0.69809,0.41109,1.01902,0.96525,0.94423,0.9604,0.77293,0.78799,0.39055,1.12251,0.000778233,0.000778233,0.000778233
48,1658.74,0.69946,0.41149,1.02667,0.95584,0.93398,0.96826,0.77919,0.8044,0.39386,1.13533,0.000764086,0.000764086,0.000764086
49,1700.38,0.69442,0.40844,1.01942,0.96778,0.95201,0.96671,0.78983,0.78271,0.40063,1.12709,0.000749939,0.000749939,0.000749939
50,1741.41,0.69311,0.40891,1.02562,0.97476,0.93351,0.96256,0.77387,0.80317,0.40822,1.13853,0.000735792,0.000735792,0.000735792
51,1782.13,0.69563,0.40307,1.01928,0.98113,0.92102,0.96228,0.78172,0.7772,0.41483,1.11405,0.000721645,0.000721645,0.000721645
52,1820.2,0.68561,0.41418,1.01999,0.95111,0.94317,0.9621,0.78364,0.76194,0.38904,1.11106,0.000707498,0.000707498,0.000707498
53,1856.62,0.69557,0.42361,1.01889,0.97599,0.92377,0.95865,0.77962,0.77407,0.39664,1.13243,0.000693351,0.000693351,0.000693351
54,1895.01,0.67989,0.39235,1.0187,0.96057,0.9292,0.96277,0.78626,0.77564,0.40851,1.12409,0.000679204,0.000679204,0.000679204
55,1929.17,0.66727,0.3988,1.00902,0.96726,0.92309,0.9692,0.77883,0.78932,0.40934,1.12349,0.000665057,0.000665057,0.000665057
56,1961.97,0.67002,0.39369,1.01914,0.97147,0.93204,0.96571,0.77964,0.7803,0.39032,1.13652,0.000650909,0.000650909,0.000650909
57,1995.28,0.68045,0.39652,1.01063,0.96236,0.92464,0.95606,0.77413,0.76931,0.42349,1.12806,0.000636762,0.000636762,0.000636762
58,2030.6,0.68521,0.40171,1.01873,0.95782,0.93575,0.97121,0.7826,0.78028,0.38134,1.12075,0.000622615,0.000622615,0.000622615
59,2068.99,0.66127,0.39413,1.01688,0.96021,0.90762,0.96169,0.77176,0.79911,0.44348,1.12453,0.000608468,0.000608468,0.000608468
60,2101.82,0.65666,0.38278,1.00339,0.96209,0.89646,0.95033,0.77215,0.78325,0.43383,1.12869,0.000594321,0.000594321,0.000594321
61,2136.35,0.66458,0.39459,1.00564,0.97873,0.92387,0.96504,0.78606,0.75532,0.37793,1.10925,0.000580174,0.000580174,0.000580174
62,2170.73,0.67034,0.38305,1.00273,0.97133,0.93956,0.96391,0.77335,0.78137,0.39356,1.14279,0.000566027,0.000566027,0.000566027
63,2204.56,0.66924,0.3993,0.99991,0.97971,0.92989,0.96462,0.78324,0.76783,0.38201,1.12186,0.00055188,0.00055188,0.00055188
64,2237.46,0.66183,0.38263,0.99878,0.97746,0.93069,0.96585,0.78778,0.76238,0.40165,1.11561,0.000537733,0.000537733,0.000537733
65,2271.43,0.64465,0.3698,0.99164,0.9646,0.9245,0.95714,0.78127,0.76468,0.40658,1.11321,0.000523586,0.000523586,0.000523586
66,2305.4,0.61875,0.35831,0.99583,0.96942,0.94112,0.96325,0.77909,0.79162,0.39426,1.13829,0.000509438,0.000509438,0.000509438
67,2339.93,0.65578,0.37464,1.01168,0.95976,0.92604,0.96324,0.7804,0.76945,0.41195,1.12015,0.000495291,0.000495291,0.000495291
68,2376.87,0.64165,0.37425,0.99041,0.97133,0.91473,0.96125,0.79056,0.76341,0.39912,1.11926,0.000481144,0.000481144,0.000481144
69,2412.17,0.62129,0.36491,0.97728,0.97628,0.92691,0.9635,0.77895,0.7887,0.39918,1.12755,0.000466997,0.000466997,0.000466997
70,2444.51,0.63502,0.35827,0.99143,0.97477,0.9326,0.97101,0.78517,0.77501,0.37995,1.13509,0.00045285,0.00045285,0.00045285
71,2476.63,0.61704,0.35635,0.99134,0.97129,0.92558,0.96872,0.79013,0.77195,0.38011,1.11347,0.000438703,0.000438703,0.000438703
72,2509.62,0.60928,0.36054,0.98263,0.98657,0.91541,0.96513,0.78126,0.77822,0.37711,1.12272,0.000424556,0.000424556,0.000424556
73,2541.43,0.61172,0.34606,0.98644,0.97772,0.94277,0.96355,0.78656,0.7687,0.36957,1.1237,0.000410409,0.000410409,0.000410409
74,2573.44,0.6052,0.35287,0.9836,0.96367,0.94408,0.9654,0.78332,0.78259,0.38125,1.11397,0.000396262,0.000396262,0.000396262
75,2607.25,0.61608,0.35176,0.99047,0.97373,0.92544,0.96655,0.78693,0.77509,0.37448,1.13111,0.000382115,0.000382115,0.000382115
76,2644.26,0.59259,0.35694,0.97143,0.98703,0.92554,0.969,0.79801,0.76678,0.37057,1.12105,0.000367967,0.000367967,0.000367967
77,2684.84,0.61146,0.34502,0.98245,0.97813,0.92202,0.96115,0.79206,0.75486,0.36742,1.12043,0.00035382,0.00035382,0.00035382
78,2717.71,0.58542,0.33311,0.96772,0.96505,0.94726,0.96406,0.7896,0.76935,0.3706,1.1206,0.000339673,0.000339673,0.000339673
